codigo,nombre,descripcion,aduana_codigo,vigencia
3,ARICA,ARICA,3,S
4,VISVIRI,VISVIRI,3,S
5,CHUNGARA,CHUNGARA,3,S
6,CHACALLUTA,CHACALLUTA,3,S
7,IQUIQUE,IQUIQUE,7,S
8,CANCOSA,CANCOSA,7,S
9,COLCHANE,COLCHANE,7,S
10,TOCOPILLA,TOCOPILLA,10,S
12,TOCORPURI,TOCORPURI,14,S
13,SAN FRANCISCO,SAN FRANCISCO,17,S
14,ANTOFAGASTA,ANTOFAGASTA,14,S
15,OLLAGUE,OLLAGUE,14,S
16,SOCOMPA,SOCOMPA,14,S
17,CHAÑARAL,CHAÑARAL,17,S
18,SAN PEDRO DE ATACAMA,SAN PEDRO DE ATACAMA,14,S
19,JUNTAS DE COPIAPO,JUNTAS DE COPIAPO,14,S
20,EL TRANSITO,EL TRANSITO,14,S
21,SICO,SICO,14,S
22,BECKER,BECKER,83,S
25,COQUIMBO,COQUIMBO,25,S
27,RIVADAVIA,RIVADAVIA,25,S
28,HURTADO,HURTADO,25,S
29,LAS TORTOLAS,LAS TORTOLAS,25,S
30,COGOTI,COGOTI,25,S
31,SALAMANCA,SALAMANCA,25,S
32,TULAHUEN,TULAHUEN,25,S
33,LOS ANDES,LOS ANDES,33,S
34,VALPARAISO,VALPARAISO,34,S
36,CHINCOLCO,CHINCOLCO,33,S
38,LOS LIBERTADORES,LOS LIBERTADORES,33,S
39,SAN ANTONIO,SAN ANTONIO,39,S
45,PORTILLO DEL MAIPO,PORTILLO DEL MAIPO,48,S
48,METROPOLITANA,METROPOLITANA,48,S
50,LAS LEÑAS,LAS LEÑAS,48,S
51,LAGO OHIGGINS,LAGO OHIGGINS,83,S
53,PUENTE NEGRO,PUENTE NEGRO,48,S
55,TALCAHUANO,TALCAHUANO,55,S
56,SAN VICENTE,SAN VICENTE,55,S
57,LOS QUEÑES DEL PLANCHON,LOS QUEÑES DEL PLANCHON,55,S
58,MAYER,MAYER,83,S
59,MAULE,MAULE,55,S
60,EL MELADO,EL MELADO,55,S
61,LOS CANELOS,LOS CANELOS,55,S
62,ATACALCO,ATACALCO,55,S
63,LLAIMA,LLAIMA,55,S
64,LONQUIMAY,LONQUIMAY,55,S
65,PUCON,PUCON,55,S
66,LAS TRANCAS,LAS TRANCAS,55,S
67,OSORNO,OSORNO,67,S
68,PUYEHUE,PUYEHUE,67,S
69,PUERTO MONTT,PUERTO MONTT,69,S
70,PEULLA,PEULLA,69,S
71,HUAHUM,HUAHUM,67,S
72,EL LEON,EL LEON,69,S
73,ANTUCO,ANTUCO,55,S
74,SAN FABIAN DE ALICO,SAN FABIAN DE ALICO,55,S
75,LOS PATOS,LOS PATOS,33,S
76,CARIRRINE,CARIRRINE,69,S
77,TRIANA,TRIANA,69,S
78,IBANEZ PALAVICINI,IBANEZ PALAVICINI,69,S
79,RIO BELLAVISTA,RIO BELLAVISTA,92,S
80,RIO MOSCO,RIO MOSCO,83,S
81,EL BOLSON,EL BOLSON,69,S
82,FUTALEUFU,FUTALEUFU,69,S
83,COYHAIQUE (PASO),COYHAIQUE (PASO),83,S
84,ALTO PALENA,ALTO PALENA,69,S
85,LAGO VERDE,LAGO VERDE,83,S
86,COYHAIQUE (REGIONAL),COYHAIQUE (REGIONAL),83,S
87,CHILE CHICO,CHILE CHICO,83,S
88,APPELEG,APPELEG,83,S
89,HUEMULES,HUEMULES,83,S
90,PUERTO AYSEN,PUERTO AYSEN,90,S
91,PORTEZUELO IBAÑEZ-PALAVICINI,PORTEZUELO IBAÑEZ-PALAVICINI,83,S
92,PUNTA ARENAS,PUNTA ARENAS,92,S
93,DOROTEA,DOROTEA,92,S
94,PAMPA ALTA,PAMPA ALTA,83,S
95,MONTE AYMOND,MONTE AYMOND,92,S
96,SAN SEBASTIAN,SAN SEBASTIAN,92,S
97,LAURITA (Casas Viejas),LAURITA (Casas Viejas),92,S
98,RIO DON GUILLERMO,RIO DON GUILLERMO,92,S
