codigo,nombre,descripcion,sigla,vigencia
1,TONELADA METRICA BRUTA,TONELADA METRICA BRUTA,TMB,S
2,QUINTAL METRICO BRUTO,QUINTAL METRICO BRUTO,QMB,S
3,1000 KILOWATT HORA,1000 KILOWATT HORA,MKWH,S
4,TONELADA METRICA NETA,TONELADA METRICA NETA,TMN,S
5,KILATE,KILATE,KLT,S
6,KILOGRAMO NETO,KILOGRAMO NETO,K.N.,S
7,GRAMO,GRAMO,GN,S
8,HECTOLITRO,HECTOLITRO,HL,S
9,LITRO,LITRO,LT,S
10,UNIDAD,UNIDAD,U,S
11,DOCENA,DOC,DOC,S
12,CENTENA,CENT,U(JGO),S
13,1000 UNIDADES,1000 UNIDADES,MU,S
14,METRO LINEAL,METRO LINEAL,MT,S
15,METRO CUADRADO,METRO CUADRADO,MT2,S
16,METRO CÚBICO,METRO CÚBICO,MCUB,S
17,PAR,PAR,2U,S
18,KNFC,KNFC,KNFC,S
19,CARTON,CARTON,CARTON,S
20,KILOWATTS-HORA,KILOWATTS-HORA,KWH,S
21,KL,KL,KL,S
22,"GALON(3,785 LTS)","GALON(3,785 LTS)",GL,S
23,BAR,BAR,BAR,S
24,M2/1 MM,M2/1 MM,M2/1 MM,S
25,LIBRA,LIBRA,LIBRA N,S
26,GRUESA,GRUESA,GSA,S
27,RESMA,RESMA,RMA,S
28,YARDA,YARDA,YD,S
29,PIE LINEAL,PIE LINEAL,PIE,S
30,PIE CUBICO,PIE CUBICO,P3,S
31,PULGADA LINEAL,PULGADA LINEAL,PUL,S
32,QUINTAL METRICO NETO,QUINTAL METRICO NETO,QMN,S
33,SET,SET,SET,S
34,PIE CUADRADO,PIE CUADRADO,P2,S
35,BRAZA,BRAZA,BR,S
36,KILOGRAMO BRUTO,KILOGRAMO BRUTO,KB,S
48,22,22,22,S
99,SIN UNIDAD DE MEDIDA,SIN UNIDAD DE MEDIDA,SIN UNI,S
